record_id,entity_name,risk_std,risk_point,risk_p50,risk_p10,risk_p90,impact_width,risk_tier,confidence_tier,primary_driver,matched_sources,S1_impact,S2_impact,S3_impact,S4_impact,S5_impact,S6_impact,S7_impact,S8_impact
REC_00000,Entity_00000,0.0141,0.0298,0.0275,0.0153,0.0475,0.0322,Minimal,High,S8,S8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098
REC_00001,Entity_00001,0.0575,0.3239,0.3189,0.2549,0.3998,0.1449,Low,Moderate,S6,"S1, S3, S6",0.013798,0.0,0.092198,0.0,0.0,0.16903,0.0,0.0
REC_00002,Entity_00002,0.0792,0.6717,0.6729,0.5628,0.7739,0.2112,Moderate,Low,S4,"S2, S3, S4, S5, S6, S8",0.0,0.01728,0.044772,0.268632,0.02855,0.082082,0.0,0.003316
REC_00003,Entity_00003,0.1182,0.4664,0.456,0.3057,0.6175,0.3117,Moderate,Low,S4,"S4, S8",0.0,0.0,0.0,0.43659,0.0,0.0,0.0,0.00539
REC_00004,Entity_00004,0.0287,0.363,0.3634,0.3271,0.3956,0.0685,Low,Moderate,S7,S7,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.0
REC_00005,Entity_00005,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00006,Entity_00006,0.0236,0.0984,0.0982,0.072,0.131,0.0589,Minimal,Moderate,S5,S5,0.0,0.0,0.0,0.0,0.0784,0.0,0.0,0.0
REC_00007,Entity_00007,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00008,Entity_00008,0.0318,0.4843,0.4862,0.4469,0.5285,0.0816,Moderate,Moderate,S7,"S3, S5, S7",0.0,0.0,0.070325,0.0,0.044845,0.0,0.277693,0.0
REC_00009,Entity_00009,0.0147,0.0396,0.0376,0.0236,0.0589,0.0353,Minimal,High,S1,S1,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00010,Entity_00010,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00011,Entity_00011,0.0328,0.069,0.0676,0.0363,0.116,0.0797,Minimal,Moderate,S2,S2,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0
REC_00012,Entity_00012,0.0346,0.1462,0.1435,0.1027,0.1929,0.0902,Minimal,Moderate,S3,"S3, S8",0.0,0.0,0.116424,0.0,0.0,0.0,0.0,0.008624
